# warsampo-linter baseline v2
# signature	severity	rule	constraint-component	focus	path	value	source	message
00c8e9a723bdf07ad312eb05d5d8b6259dd16a616f3a88c12d2466cf395a66ce	<http://www.w3.org/ns/shacl#Violation>	<https://w3id.org/warsampo-linter#SkosLabelDisjointnessShape>	<http://www.w3.org/ns/shacl#SPARQLConstraintComponent>	<http://ldf.fi/ammo/maataloustyomies>	<http://www.w3.org/2004/02/skos/core#prefLabel>	"agricultural worker"@en	warsampo/ammo-data/ammo.ttl	SKOS preferred, alternative, and hidden labels must be pairwise disjoint.
056ee0d77e374da961cd5bf04c160e9f6cc24039a2a06efff0a398b57b85fdd5	<http://www.w3.org/ns/shacl#Violation>	<https://w3id.org/warsampo-linter#SkosLabelDisjointnessShape>	<http://www.w3.org/ns/shacl#SPARQLConstraintComponent>	<http://ldf.fi/ammo/tukkityomies>	<http://www.w3.org/2004/02/skos/core#prefLabel>	"logger"@en	warsampo/ammo-data/ammo.ttl	SKOS preferred, alternative, and hidden labels must be pairwise disjoint.
06e0173db7682df8254dae9cbc904d8a89a9fa12f93cb5073e0779f0ffa92c98	<http://www.w3.org/ns/shacl#Violation>	<https://w3id.org/warsampo-linter#SkosLabelDisjointnessShape>	<http://www.w3.org/ns/shacl#SPARQLConstraintComponent>	<http://ldf.fi/ammo/yovartija>	<http://www.w3.org/2004/02/skos/core#prefLabel>	"night watchman"@en	warsampo/ammo-data/ammo.ttl	SKOS preferred, alternative, and hidden labels must be pairwise disjoint.
0789f7416263782bb88df06b350d4f43e718b6af8a0c101341541f08ebf411a4	<http://www.w3.org/ns/shacl#Violation>	<https://w3id.org/warsampo-linter#SkosLabelDisjointnessShape>	<http://www.w3.org/ns/shacl#SPARQLConstraintComponent>	<http://ldf.fi/ammo/kehraaja>	<http://www.w3.org/2004/02/skos/core#prefLabel>	"kehrääjä"@fi	warsampo/ammo-data/ammo.ttl	SKOS preferred, alternative, and hidden labels must be pairwise disjoint.
0983770a377670f3f8f1dd9c643b6acd7e625a42021bf5871298d305f670384e	<http://www.w3.org/ns/shacl#Violation>	<https://w3id.org/warsampo-linter#KnownVocabularyTermShape>	<http://www.w3.org/ns/shacl#SPARQLConstraintComponent>	<https://w3id.org/warsampo-linter#auditTarget>	<http://www.w3.org/2002/07/owl#same>	<http://ldf.fi/warsa/medals/medal_127>	warsampo/warsa-actor-data/medals/medal_types.ttl	A standard-vocabulary IRI is unknown or is used in a role not allowed by the pinned vocabulary manifest.
0d721207dcd185de1c5c32be65b5cf8c077b4ce2e237a2d1cdeaf5f682d343f7	<http://www.w3.org/ns/shacl#Violation>	<https://w3id.org/warsampo-linter#SkosPreferredLabelLanguageShape>	<http://www.w3.org/ns/shacl#SPARQLConstraintComponent>	<http://ldf.fi/ammo/sahkoalan-oppilas>	<http://www.w3.org/2004/02/skos/core#prefLabel>	"sähköalan oppilas"@fi	warsampo/ammo-data/ammo.ttl	A resource has more than one SKOS preferred label for the same language.
0d9c81ef96c494c33eec800096f26576137badedf9871bc20ffa3bdd18846503	<http://www.w3.org/ns/shacl#Violation>	<https://w3id.org/warsampo-linter#SkosLabelDisjointnessShape>	<http://www.w3.org/ns/shacl#SPARQLConstraintComponent>	<http://ldf.fi/ammo/torikauppias>	<http://www.w3.org/2004/02/skos/core#prefLabel>	"market dealer"@en	warsampo/ammo-data/ammo.ttl	SKOS preferred, alternative, and hidden labels must be pairwise disjoint.
0df652ac85c00bc3672200aedbe1c1d03a3aee845eecfb1e3056c1528624bcb2	<http://www.w3.org/ns/shacl#Violation>	<https://w3id.org/warsampo-linter#SkosLabelDisjointnessShape>	<http://www.w3.org/ns/shacl#SPARQLConstraintComponent>	<http://ldf.fi/ammo/tulliexpeditoori>	<http://www.w3.org/2004/02/skos/core#prefLabel>	"tulliexpeditööri"@fi	warsampo/ammo-data/ammo.ttl	SKOS preferred, alternative, and hidden labels must be pairwise disjoint.
0e49210cd617125253be7595494b398590da96aa9e62babb0b32d03dc9b437ae	<http://www.w3.org/ns/shacl#Violation>	<https://w3id.org/warsampo-linter#SkosLabelDisjointnessShape>	<http://www.w3.org/ns/shacl#SPARQLConstraintComponent>	<http://ldf.fi/ammo/viulisti>	<http://www.w3.org/2004/02/skos/core#prefLabel>	"violin player"@en	warsampo/ammo-data/ammo.ttl	SKOS preferred, alternative, and hidden labels must be pairwise disjoint.
10a0767c3b5fcacd5c6bb4ae1bf250b685015a9da194ff075081c5d4ddcbf171	<http://www.w3.org/ns/shacl#Violation>	<https://w3id.org/warsampo-linter#SkosLabelDisjointnessShape>	<http://www.w3.org/ns/shacl#SPARQLConstraintComponent>	<http://ldf.fi/ammo/aputyomies>	<http://www.w3.org/2004/02/skos/core#prefLabel>	"assistant worker"@en	warsampo/ammo-data/ammo.ttl	SKOS preferred, alternative, and hidden labels must be pairwise disjoint.
